text,sentiment
"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share .",0
"Under the changes envisaged , HK Ruokatalo would reduce its number of industrial places of business in Finland from eight to six .",0
"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",0
"- The Group - s profit before taxes was EUR 0,2 7,8 million .",0
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",-1
About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,1
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,1
The company is well positioned in Brazil and Uruguay .,1
"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",0
The terms of the transactions remained undisclosed .,0
"The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .",0
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,0
In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group .,0
"According shipping company Viking Line , the EU decision will have a significant financial impact .",0
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",0
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,-1
"The technology will become available to businesses from the fourth quarter , Nokia said .",0
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",0
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",0
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",1
"Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .",1
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",1
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,1
Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,0
Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,1
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .",0
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,0
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",0
"Elsewhere , the tendency is towards more developed packaging than before .",0
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",-1
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",0
"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .",0
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",0
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,0
"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",1
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,1
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",-1
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",0
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,0
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",0
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",0
"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .",1
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",-1
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,0
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,1
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,0
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",0
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",1
The mill has long traditions and holds an established position in the markets .,1
The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .,1
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",-1
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",-1
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .,1
"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",1
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,1
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",1
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,1
The StoneGate UTM solution offers protection against inbound and outbound attacks .,1
The deliveries are scheduled for the summer and autumn of 2008 .,0
The expanded company will continue to be called NewPage .,0
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",0
The group will expand the chain to include 45 stores .,1
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",0
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",1
Work on the assignment has already started and is due for completion in spring 2011 .,0
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",0
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",1
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",-1
The company 's strength is its Apetit brand .,1
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",1
UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,1
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,-1
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",0
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",1
"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa .",0
"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",0
"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",1
We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .,0
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",-1
The energy shot is packed in a 100-millilitre bag with a screw cap .,0
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",0
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",-1
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",0
"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",0
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",0
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,1
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",0
"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .",-1
"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services .",0
Teleste expects to start the deliveries at the end of 2009 .,0
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",0
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,0
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,0
"After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone .",-1
"The market making in accordance with the agreement will begin on September 24 , 2009 .",0
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,1
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",1
The estimated annual value of the frame agreement is about EUR 50mn .,0
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,1
"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",0
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",1
Europe however remains an important and strong market for us .,0
"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",0
The value of this kind of order amounts usually between Euro 2 and 3 million .,0
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,0
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,-1
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",0
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",0
"To see more of New Haven Register , or to subscribe to the newspaper .",0
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",0
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",1
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,1
"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham .",-1
In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service .,-1
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,-1
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",-1
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,1
"The facility will be used to refinance Citycon 's existing credit facility , the company said .",0
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",-1
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,1
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",1
It 's not .,0
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",0
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,-1
"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",0
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,0
The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,0
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",-1
"That 's what I go to bed worrying about every night , ' he said .",-1
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,0
"The share issue , derogating from the pre-emptive right of the shareholders and comprising some six million new shares at market price , will be offered for subscription by shareholders , holders of capital notes and by professional clients .",0
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,0
- I am pleased that Bjorn Wahlroos has accepted the nomination .,1
Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .,0
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,0
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",1
The expansion will be delivered in the fourth quarter of 2006 .,0
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",1
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",0
"Solvay S.A. has engaged Poyry to provide project management , engineering , procurement , and site services for a hydrogen peroxide production plant to be built by a Solvay-BASF joint venture at BASF 's Zandvliet site , Belgium .",0
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,1
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",0
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,-1
"Aho is proud of the company 's new product , Lordi-Cola .",0
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,0
"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",0
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",-1
Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,0
Raute is listed on the Nordic exchange in Helsinki .,0
Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,0
The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,1
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,-1
He wore a black beanie-type cap and a black jacket .,0
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,0
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",1
"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",1
"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",1
The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,0
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",1
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",0
"Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced .",0
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",1
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",0
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",1
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",0
F-Secure Online Backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .,0
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,-1
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",-1
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,1
Finnish food industry companies are interested in the opportunities provided by Ukraine .,0
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",1
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",0
"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",0
In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,-1
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",0
Sales fell abroad but increased in Finland .,0
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",1
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",1
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",0
Market data and analytics are derived from primary and secondary research .,0
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",1
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",-1
The issuer is solely responsible for the content of this announcement .,0
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",1
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,1
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,1
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,1
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,0
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",-1
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",0
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,0
Investments are not disclosed .,0
"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States .",0
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,0
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,-1
The recent troubles simply make NETeller cheaper .,-1
"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .",0
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,0
"In the Baltic countries , Atria 's target is organic growth .",0
"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn .",1
The share subscription period will expire on 30 September 2007 .,0
"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",-1
Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,-1
Its market share is 6 percent according to AC Nielsen 's 2008 data .,0
"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .",0
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",-1
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,1
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",0
Raisio 's malting capacity was in full use in 2008 .,1
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,-1
The fine print is here .,0
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",-1
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries .",0
Coffee will be served starting at 14:30 EET as well as after the event .,0
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",0
The goal will be achieved via organic growth possibly supplemented by acquisitions .,0
Also Lemmink+Æinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,1
"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",1
"Profit per share was EUR 1.03 , up from EUR 0.87 .",1
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",0
"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .",1
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,0
The ECB can mainly target inflation .,0
`` Demand for sports equipment was good in 2005 .,1
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,0
"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",1
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",0
The first quarter was as expected and was in line with analysts ' forecasts .,0
Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,0
"Finnish real estate company Sponda Oyj said on April 11 , 2008 it would build Vuosaari Harbour Service Center at the Port of Helsinki .",0
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",1
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",1
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,-1
Currently the quarterly applied surcharges differ significantly from the actual market prices .,0
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",0
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",0
Joint procurement will be later extended to the factories in the Baltic countries .,0
"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",0
Finnish power company Fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,0
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",0
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,1
Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .,0
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",0
`` It wo n't happen overnight .,0
